session,rate
0,12.4650656
1,29.12403363
2,12.41809238
3,21.61875541
4,10.78945394
5,23.60476764
6,22.38440177
7,23.99510755
8,15.54091392
9,16.57716821
10,12.16910051
11,13.1012301
12,48.31085662
13,5.459297413
14,18.71374729
15,23.79549416
16,10.52537537
17,12.99990052
18,13.82061988
19,34.44745187
20,5.223409331
21,21.37237129
22,0.851146522
23,5.729560575
24,24.39676966
25,4.764682217
26,19.36330103
27,31.83644252
28,12.68009
29,25.63366307
30,13.58758022
31,17.0032402
32,25.47287488
33,20.48390621
34,9.00731513
35,20.56210569
36,43.5612595
37,10.90831088
38,0.293355751
39,19.49397863
40,11.26727687
41,28.48825236
42,18.41087681
43,35.24622464
44,21.21512513
45,19.60901048
46,25.1428939
47,9.735170388
48,21.96596958
49,41.15669379
50,24.64205533
51,34.04150981
52,6.095474864
53,14.55286215
54,26.28905551
55,19.18934368
56,23.676438
57,16.13586555
58,17.46415615
59,10.4859824
60,22.04599903
61,12.10262418
62,19.42036914
63,30.71950216
64,6.436453151
65,11.83175158
66,0.099608033
67,11.59090897
68,35.57417442
69,12.54665579
70,10.7932295
71,18.37099739
72,14.06620281
73,8.111890032
74,27.13444926
75,12.31103119
76,5.690025517
77,16.14613726
78,2.531028724
79,28.75657649
80,8.908125869
81,23.64389963
82,5.633252127
83,13.04197516
84,25.55987389
85,33.51013082
86,23.80630861
87,17.97176918
88,19.97270965
89,24.55433885
90,9.172279943
91,15.70461795
92,7.303711567
93,27.28806437
94,44.98101702
95,32.23003613
96,16.91815452
97,10.65472881
98,0.695878538
99,40.74169119
100,12.43855107
101,5.808550156
102,3.469528146
103,9.627943182
104,20.48533276
105,4.203791479
106,28.09873645
107,8.584246043
108,39.08337088
109,11.92892999
110,4.292408894
111,36.29111251
112,29.79027864
113,23.3678092
114,7.128991022
115,26.57708343
116,1.384469545
117,6.478609854
118,3.934450002
119,4.279267025
120,36.34966784
121,0.338256387
122,10.80509363
123,11.99117044
124,15.00479743
125,28.3316632
126,0.640814895
127,6.267530474
128,21.87635516
129,45.39942679
130,21.88698902
131,25.55829972
132,49.64337096
133,8.927075116
134,27.00594244
135,38.19946947
136,23.61403892
137,14.50514572
138,24.29260045
139,35.73708681
140,14.31304136
141,4.366870668
142,9.900499216
143,24.36732099
144,0.111616006
145,24.82351121
146,13.30761612
147,9.882593131
148,22.38888197
149,22.11715029
150,11.05753998
151,0.58848849
152,28.45965281
153,3.088207639
154,7.189548951
155,38.76440259
156,39.12271553
157,45.21479122
158,28.91549158
159,23.56789876
160,21.75980886
161,33.95566809
162,27.61321897
163,60.28099706
164,6.197849632
165,24.49295898
166,34.81396071
167,12.49926635
168,21.46387987